Muhallil,03-321242-101,15,Karachi,A+
Muhazzim,03-321242-102,14,Jhang,O+
Muzdahir,03-321242-103,13,Larkana,AB+
Muzhir,03-321242-104,15,Karachi,A-
Rusul,03-321242-105,16,Quetta,O-
Ruwaihim,03-321242-106,14,Larkana,B+
Samama,03-321242-107,15,Quetta,O-
Sharnaz,03-321242-108,13,Larkana,A-
Souma,03-321242-109,16,Quetta,A-
Tadeen,03-321242-110,14,Karachi,B+
Tafazal,03-321242-111,15,Larkana,A+
Tahmaseb,03-321242-112,13,Larkana,AB+
Tahoor,03-321242-113,16,Jhang,B+
Taial,03-321242-114,16,Karachi,A-
Aqsaa,03-321242-115,15,Quetta,A+
Zabir,03-321242-116,13,Jhang,AB+
Yureed,03-321242-117,12,Larkana,O+
Yazeed,03-321242-118,15,Quetta,AB+
Haniya,03-321242-119,15,Jhang,A-
Zahaar,03-321242-120,16,Karachi,A+
