Mubashir,03-123411-002,24,Gujranwala,AB+
Ahmed ,03-123411-004,22,Quetta,AB-
Hamza ,03-123411-008,23,Hyderabad,A-
Naif,03-123411-010,21,Faisalabad,A-
Khalid,03-123411-012,23,Peshawar,A+
Umer,03-123411-014,22,Quetta,AB-
Sami,03-123411-016,20,Hyderabad,A-
Elaf,03-123411-018,24,Peshawar,A+
Rayan ,03-123411-020,23,Gujranwala,AB+
Rohaan,03-123411-022,21,Karachi,AB-
Atfat,03-123411-024,22,Faisalabad,O-
Atheel,03-123411-026,24,Karachi,AB+
Awan,03-123411-028,22,Quetta,AB-
Azeeb,03-123411-030,23,Peshawar,A+
Azban,03-123411-032,21,Gujranwala,A-
Baashir,03-123411-034,24,Karachi,AB+
Durab,03-123411-036,23,Faisalabad,A-
Fazli,03-123411-038,21,Hyderabad,A+
Fahmi,03-123411-040,22,Quetta,A-
Fahim,03-123411-042,24,Peshawar,AB+
